2018-04-17 14:21:46,057 [Worker-20] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.xwtec.cn:etonmall_h5:0.0.1 @ F:\Learning\Java\xwtec\o2opay-web\etonmall_h5\pom.xml.
2018-04-17 14:21:46,256 [Worker-20] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for com.alibaba:druid:jar:1.0.25 is invalid, transitive dependencies (if any) will not be available, enable debug logging for more details
2018-04-17 14:21:46,265 [Worker-20] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for com.alibaba:dubbo:jar:2.8.4 is missing, no dependency information available
2018-04-17 14:21:47,692 [Worker-20] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for com.alibaba:druid:jar:1.0.25 is invalid, transitive dependencies (if any) will not be available, enable debug logging for more details
2018-04-17 14:21:47,700 [Worker-20] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for com.alibaba:dubbo:jar:2.8.4 is missing, no dependency information available
2018-04-17 14:21:49,296 [Worker-20] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /etonmall_h5/src/main/java
2018-04-17 14:21:49,297 [Worker-20] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Resources folder /etonmall_h5/src/main/java overlaps with sources folder /etonmall_h5/src/main/java
2018-04-17 14:21:49,301 [Worker-20] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /etonmall_h5/src/main/resources
2018-04-17 14:21:49,302 [Worker-20] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /etonmall_h5/src/test/java
2018-04-17 14:21:50,646 [Worker-20] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for com.alibaba:druid:jar:1.0.25 is invalid, transitive dependencies (if any) will not be available, enable debug logging for more details
2018-04-17 14:21:50,648 [Worker-20] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for com.alibaba:dubbo:jar:2.8.4 is missing, no dependency information available
2018-04-17 14:21:53,402 [Worker-20] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Cleaning filtered folder for etonmall_h5
2018-04-17 14:21:53,420 [Worker-20] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update completed: 8 sec
2018-04-17 14:21:57,662 [Worker-22] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for com.alibaba:druid:jar:1.0.25 is invalid, transitive dependencies (if any) will not be available, enable debug logging for more details
2018-04-17 14:21:57,667 [Worker-22] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for com.alibaba:dubbo:jar:2.8.4 is missing, no dependency information available
2018-04-17 14:21:58,299 [Worker-22] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2018-04-17 14:21:58,305 [Worker-22] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 15 resources
2018-04-17 14:21:58,364 [Worker-22] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 17 resources
2018-04-17 14:21:58,394 [Worker-22] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2018-04-17 14:21:58,394 [Worker-22] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory F:\Learning\Java\xwtec\o2opay-web\etonmall_h5\src\test\resources
2018-04-17 14:21:58,395 [Worker-22] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of etonmall_h5
2018-04-17 14:21:58,395 [Worker-22] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for etonmall_h5
2018-04-17 14:21:58,410 [Worker-22] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2018-04-17 14:26:16,803 [Worker-13] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2018-04-17 14:26:16,840 [Worker-13] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 15 resources
2018-04-17 14:26:16,879 [Worker-13] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 17 resources
2018-04-17 14:26:16,908 [Worker-13] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2018-04-17 14:26:16,909 [Worker-13] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory F:\Learning\Java\xwtec\o2opay-web\etonmall_h5\src\test\resources
2018-04-17 14:27:42,736 [Worker-25] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2018-04-17 14:27:42,766 [Worker-25] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 15 resources
2018-04-17 14:27:42,775 [Worker-25] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 17 resources
2018-04-17 14:27:42,781 [Worker-25] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2018-04-17 14:27:42,782 [Worker-25] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory F:\Learning\Java\xwtec\o2opay-web\etonmall_h5\src\test\resources
2018-04-17 14:31:45,554 [Worker-20] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2018-04-17 14:31:45,555 [Worker-20] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-04-17 14:31:45,556 [Worker-20] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 17 resources
2018-04-17 14:31:45,561 [Worker-20] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2018-04-17 14:31:45,562 [Worker-20] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory F:\Learning\Java\xwtec\o2opay-web\etonmall_h5\src\test\resources
2018-04-17 14:40:58,254 [Worker-3] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is up-to-date. Trying to read.
2018-04-17 14:41:17,976 [Worker-2] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for com.alibaba:druid:jar:1.0.25 is invalid, transitive dependencies (if any) will not be available, enable debug logging for more details
2018-04-17 14:41:18,001 [Worker-2] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for com.alibaba:dubbo:jar:2.8.4 is missing, no dependency information available
2018-04-17 14:41:19,847 [Worker-2] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2018-04-17 14:41:19,859 [Worker-2] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 15 resources
2018-04-17 14:41:19,920 [Worker-2] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 17 resources
2018-04-17 14:41:19,949 [Worker-2] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2018-04-17 14:41:19,950 [Worker-2] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory F:\Learning\Java\xwtec\o2opay-web\etonmall_h5\src\test\resources
2018-04-17 14:44:31,055 [Worker-0] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is up-to-date. Trying to read.
2018-04-17 14:48:23,892 [Worker-8] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.bdqn:sl:0.0.1-SNAPSHOT @ F:\Learning\Java\SpringBoot\sl\pom.xml.
2018-04-17 14:48:25,032 [Worker-8] WARN  o.e.m.c.i.embedder.EclipseLogger - The artifact org.apache.commons:commons-io:jar:1.3.2 has been relocated to commons-io:commons-io:jar:1.3.2
2018-04-17 14:48:25,223 [Worker-8] WARN  o.e.m.c.i.embedder.EclipseLogger - Failed to retrieve plugin descriptor for org.apache.maven.plugins:maven-help-plugin:2.2: Plugin org.apache.maven.plugins:maven-help-plugin:2.2 or one of its dependencies could not be resolved: Failed to read artifact descriptor for org.apache.maven.plugins:maven-help-plugin:jar:2.2
2018-04-17 14:48:25,229 [Worker-8] WARN  o.e.m.c.i.embedder.EclipseLogger - Failed to retrieve plugin descriptor for org.codehaus.mojo:xml-maven-plugin:1.0: Plugin org.codehaus.mojo:xml-maven-plugin:1.0 or one of its dependencies could not be resolved: Failed to read artifact descriptor for org.codehaus.mojo:xml-maven-plugin:jar:1.0
2018-04-17 14:48:25,240 [Worker-8] WARN  o.e.m.c.i.embedder.EclipseLogger - Failed to retrieve plugin descriptor for org.codehaus.mojo:build-helper-maven-plugin:1.10: Plugin org.codehaus.mojo:build-helper-maven-plugin:1.10 or one of its dependencies could not be resolved: Failed to read artifact descriptor for org.codehaus.mojo:build-helper-maven-plugin:jar:1.10
2018-04-17 14:48:25,246 [Worker-8] WARN  o.e.m.c.i.embedder.EclipseLogger - Failed to retrieve plugin descriptor for org.apache.maven.plugins:maven-clean-plugin:2.6.1: Plugin org.apache.maven.plugins:maven-clean-plugin:2.6.1 or one of its dependencies could not be resolved: Failed to read artifact descriptor for org.apache.maven.plugins:maven-clean-plugin:jar:2.6.1
2018-04-17 14:48:25,408 [Worker-8] WARN  o.e.m.c.i.embedder.EclipseLogger - Failed to retrieve plugin descriptor for org.apache.maven.plugins:maven-help-plugin:2.2: Plugin org.apache.maven.plugins:maven-help-plugin:2.2 or one of its dependencies could not be resolved: Failed to read artifact descriptor for org.apache.maven.plugins:maven-help-plugin:jar:2.2
2018-04-17 14:48:25,411 [Worker-8] WARN  o.e.m.c.i.embedder.EclipseLogger - Failed to retrieve plugin descriptor for org.codehaus.mojo:xml-maven-plugin:1.0: Plugin org.codehaus.mojo:xml-maven-plugin:1.0 or one of its dependencies could not be resolved: Failed to read artifact descriptor for org.codehaus.mojo:xml-maven-plugin:jar:1.0
2018-04-17 14:48:25,414 [Worker-8] WARN  o.e.m.c.i.embedder.EclipseLogger - Failed to retrieve plugin descriptor for org.codehaus.mojo:build-helper-maven-plugin:1.10: Plugin org.codehaus.mojo:build-helper-maven-plugin:1.10 or one of its dependencies could not be resolved: Failed to read artifact descriptor for org.codehaus.mojo:build-helper-maven-plugin:jar:1.10
2018-04-17 14:48:25,417 [Worker-8] WARN  o.e.m.c.i.embedder.EclipseLogger - Failed to retrieve plugin descriptor for org.apache.maven.plugins:maven-clean-plugin:2.6.1: Plugin org.apache.maven.plugins:maven-clean-plugin:2.6.1 or one of its dependencies could not be resolved: Failed to read artifact descriptor for org.apache.maven.plugins:maven-clean-plugin:jar:2.6.1
